,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C dens g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
33,34,,42.0781181807,49.1541481642,17.904322089,1.578998725,50.0685967041,7,,0.3794601598,0.1338922537,0.6624868813,0.0523056926,1.8789515498,7,,0.0586426872,0.0653879969,0.0244925271,0.0253291806,0.0964769147,7
34,35,,42.0781181807,49.1541481642,17.904322089,1.578998725,50.0685967041,7,,0.3794601598,0.1338922537,0.6624868813,0.0523056926,1.8789515498,7,,0.0586426872,0.0653879969,0.0244925271,0.0253291806,0.0964769147,7
35,36,,42.3452390034,49.2418925817,18.100423899,1.578998725,52.1049018097,7,,0.4100875477,0.1415842374,0.650056807,0.1338922537,1.8789515498,7,,0.074517974,0.0667568674,0.0365896991,0.029668621,0.1499954245,7
36,37,,42.3452390034,49.2418925817,18.100423899,1.578998725,52.1049018097,7,,0.4100875477,0.1415842374,0.650056807,0.1338922537,1.8789515498,7,,0.074517974,0.0667568674,0.0365896991,0.029668621,0.1499954245,7
37,38,,42.3452390034,49.2418925817,18.100423899,1.578998725,52.1049018097,7,,0.4100875477,0.1415842374,0.650056807,0.1338922537,1.8789515498,7,,0.074517974,0.0667568674,0.0365896991,0.029668621,0.1499954245,7
38,39,,41.140179526,46.5878540495,17.7950633476,1.578998725,52.1049018097,7,,0.4281323259,0.1536528266,0.6428250855,0.1345909908,1.8789515498,7,,0.080379223,0.0689726131,0.0383815443,0.029668621,0.1499954245,7
39,40,,41.3739423271,46.5878540495,17.9530087195,1.578998725,52.4268273804,7,,0.4310789573,0.1742792468,0.6414029097,0.1345909908,1.8789515498,7,,0.0822832315,0.0689726131,0.0385763111,0.029668621,0.1499954245,7
40,41,,41.3743020608,46.5878540495,17.966446885,1.5468851262,52.4268273804,7,,0.4334071668,0.1742792468,0.6402054043,0.1345909908,1.8789515498,7,,0.0832817301,0.0730811069,0.0382715681,0.0290652221,0.1499954245,7
41,42,,39.4519571578,46.2885218765,17.1901877484,1.5468851262,52.4268273804,7,,0.440749331,0.1742792468,0.6391176161,0.1297006683,1.8789515498,7,,0.0809610073,0.0730811069,0.0362855233,0.0290652221,0.1410538711,7
42,43,,39.4519571578,46.2885218765,17.1901877484,1.5468851262,52.4268273804,7,,0.440749331,0.1742792468,0.6391176161,0.1297006683,1.8789515498,7,,0.0809610073,0.0730811069,0.0362855233,0.0290652221,0.1410538711,7
43,44,,39.4519571578,46.2885218765,17.1901877484,1.5468851262,52.4268273804,7,,0.440749331,0.1742792468,0.6391176161,0.1297006683,1.8789515498,7,,0.0809610073,0.0730811069,0.0362855233,0.0290652221,0.1410538711,7
44,45,,35.005860824,46.2885218765,20.3328925368,1.5468851262,52.4268273804,7,,0.5165373991,0.1742792468,0.6455625628,0.1297006683,1.8789515498,7,,0.0771986046,0.0730811069,0.0343545826,0.0290652221,0.1410538711,7
45,46,,35.0501240398,46.5878540495,20.3618642618,1.5468851262,52.4268273804,7,,0.5155188075,0.1742792468,0.6462280612,0.1297006683,1.8789515498,7,,0.076793841,0.0702477622,0.0344277932,0.0290652221,0.1410538711,7
46,47,,35.1871838431,46.5878540495,20.5010778141,1.5468851262,53.3862460035,7,,0.5163260642,0.1799300442,0.6457340863,0.1297006683,1.8789515498,7,,0.0774636719,0.0702477622,0.0348022106,0.0290652221,0.1410538711,7
47,48,,35.1871838431,46.5878540495,20.5010778141,1.5468851262,53.3862460035,7,,0.5163260642,0.1799300442,0.6457340863,0.1297006683,1.8789515498,7,,0.0774636719,0.0702477622,0.0348022106,0.0290652221,0.1410538711,7
48,49,,35.1871838431,46.5878540495,20.5010778141,1.5468851262,53.3862460035,7,,0.5163260642,0.1799300442,0.6457340863,0.1297006683,1.8789515498,7,,0.0774636719,0.0702477622,0.0348022106,0.0290652221,0.1410538711,7
49,50,,35.1871838431,46.5878540495,20.5010778141,1.5468851262,53.3862460035,7,,0.5163260642,0.1799300442,0.6457340863,0.1297006683,1.8789515498,7,,0.0774636719,0.0702477622,0.0348022106,0.0290652221,0.1410538711,7
50,51,,28.0140171319,28.5813491639,20.7784447694,1.4078457104,53.3862460035,7,,0.5994536461,0.4113989107,0.6032829392,0.1436214206,1.8789515498,7,,0.0839237527,0.0814487907,0.0412003123,0.0264527388,0.1485214454,7
51,52,,28.0140171319,28.5813491639,20.7784447694,1.4078457104,53.3862460035,7,,0.5994536461,0.4113989107,0.6032829392,0.1436214206,1.8789515498,7,,0.0839237527,0.0814487907,0.0412003123,0.0264527388,0.1485214454,7
52,53,,27.9004108832,28.5813491639,20.61815728,1.4078457104,52.5910022623,7,,0.602176704,0.4113989107,0.6011128349,0.1436214206,1.8789515498,7,,0.0851514243,0.0814487907,0.0417465573,0.0264527388,0.1485214454,7
53,54,,27.9004108832,28.5813491639,20.61815728,1.4078457104,52.5910022623,7,,0.602176704,0.4113989107,0.6011128349,0.1436214206,1.8789515498,7,,0.0851514243,0.0814487907,0.0417465573,0.0264527388,0.1485214454,7
54,55,,27.546838451,28.5813491639,20.9881734396,1.4078457104,52.5910022623,7,,0.5702374467,0.4113989107,0.5953369755,0.1436214206,1.8789515498,7,,0.079856226,0.0673702331,0.0445510569,0.0264527388,0.1485214454,7
55,56,,27.5408933682,28.5813491639,19.9303212375,1.4078457104,52.5910022623,7,,0.5565209619,0.3329814655,0.5976110703,0.1792721279,1.8789515498,7,,0.0810352824,0.0767690186,0.0443890241,0.0264527388,0.1485214454,7
56,57,,27.5408933682,28.5813491639,19.9303212375,1.4078457104,52.5910022623,7,,0.5565209619,0.3329814655,0.5976110703,0.1792721279,1.8789515498,7,,0.0810352824,0.0767690186,0.0443890241,0.0264527388,0.1485214454,7
57,58,,27.4272871195,28.5813491639,19.7653164706,1.4078457104,51.7957585212,7,,0.5592440197,0.3329814655,0.5957509757,0.1792721279,1.8789515498,7,,0.0822196442,0.0767690186,0.0452268548,0.0264527388,0.1485214454,7
58,59,,27.4272871195,28.5813491639,19.7653164706,1.4078457104,51.7957585212,7,,0.5592440197,0.3329814655,0.5957509757,0.1792721279,1.8789515498,7,,0.0822196442,0.0767690186,0.0452268548,0.0264527388,0.1485214454,7
59,60,,27.4272871195,28.5813491639,19.7653164706,1.4078457104,51.7957585212,7,,0.5592440197,0.3329814655,0.5957509757,0.1792721279,1.8789515498,7,,0.0822196442,0.0767690186,0.0452268548,0.0264527388,0.1485214454,7
60,61,,31.4483343472,33.2563892277,17.4895846167,5.3505432134,51.7957585212,6,,0.2208510595,0.2164878446,0.0685310663,0.1329721853,0.3435725756,6,,0.0623476119,0.0612069404,0.0333773902,0.0183829991,0.1129421297,6
61,62,,31.4483343472,33.2563892277,17.4895846167,5.3505432134,51.7957585212,6,,0.2208510595,0.2164878446,0.0685310663,0.1329721853,0.3435725756,6,,0.0623476119,0.0612069404,0.0333773902,0.0183829991,0.1129421297,6
62,63,,31.4483343472,33.2563892277,17.4895846167,5.3505432134,51.7957585212,6,,0.2208510595,0.2164878446,0.0685310663,0.1329721853,0.3435725756,6,,0.0623476119,0.0612069404,0.0333773902,0.0183829991,0.1129421297,6
63,64,,24.5606981606,23.3870467513,15.9428100218,5.3505432134,46.0325816791,6,,0.2940039626,0.2176354947,0.1905605361,0.1329721853,0.6569702721,6,,0.0549879907,0.0612069404,0.0233533456,0.0183829991,0.0832547213,6
64,65,,24.5606981606,23.3870467513,15.9428100218,5.3505432134,46.0325816791,6,,0.2940039626,0.2176354947,0.1905605361,0.1329721853,0.6569702721,6,,0.0549879907,0.0612069404,0.0233533456,0.0183829991,0.0832547213,6
65,66,,23.1442783089,23.3870467513,14.4536368475,5.3505432134,44.4270785471,6,,0.3112467329,0.2517583145,0.1808568124,0.1681831679,0.6569702721,6,,0.0583922946,0.0649938767,0.0262559196,0.0183829991,0.0901722064,6
66,67,,23.1442783089,23.3870467513,14.4536368475,5.3505432134,44.4270785471,6,,0.3112467329,0.2517583145,0.1808568124,0.1681831679,0.6569702721,6,,0.0583922946,0.0649938767,0.0262559196,0.0183829991,0.0901722064,6
67,68,,23.1442783089,23.3870467513,14.4536368475,5.3505432134,44.4270785471,6,,0.3112467329,0.2517583145,0.1808568124,0.1681831679,0.6569702721,6,,0.0583922946,0.0649938767,0.0262559196,0.0183829991,0.0901722064,6
68,69,,23.1442783089,23.3870467513,14.4536368475,5.3505432134,44.4270785471,6,,0.3112467329,0.2517583145,0.1808568124,0.1681831679,0.6569702721,6,,0.0583922946,0.0649938767,0.0262559196,0.0183829991,0.0901722064,6
69,70,,23.1442783089,23.3870467513,14.4536368475,5.3505432134,44.4270785471,6,,0.3112467329,0.2517583145,0.1808568124,0.1681831679,0.6569702721,6,,0.0583922946,0.0649938767,0.0262559196,0.0183829991,0.0901722064,6
70,71,,20.2178238587,20.9338961478,14.0353621338,3.0296557458,40.5442850929,6,,0.3145285102,0.3454892551,0.1060746654,0.1622436253,0.4352400485,6,,0.0520223062,0.0588422862,0.027028481,0.0131862751,0.0876813259,6
71,72,,20.2178238587,20.9338961478,14.0353621338,3.0296557458,40.5442850929,6,,0.3145285102,0.3454892551,0.1060746654,0.1622436253,0.4352400485,6,,0.0520223062,0.0588422862,0.027028481,0.0131862751,0.0876813259,6
72,73,,20.2178238587,20.9338961478,14.0353621338,3.0296557458,40.5442850929,6,,0.3145285102,0.3454892551,0.1060746654,0.1622436253,0.4352400485,6,,0.0520223062,0.0588422862,0.027028481,0.0131862751,0.0876813259,6
73,74,,20.2178238587,20.9338961478,14.0353621338,3.0296557458,40.5442850929,6,,0.3145285102,0.3454892551,0.1060746654,0.1622436253,0.4352400485,6,,0.0520223062,0.0588422862,0.027028481,0.0131862751,0.0876813259,6
74,75,,20.2178238587,20.9338961478,14.0353621338,3.0296557458,40.5442850929,6,,0.3145285102,0.3454892551,0.1060746654,0.1622436253,0.4352400485,6,,0.0520223062,0.0588422862,0.027028481,0.0131862751,0.0876813259,6
75,76,,18.7886725789,20.9338961478,11.8121640313,3.0296557458,31.9693774141,6,,0.3180931383,0.3454892551,0.1001262231,0.1836313938,0.4352400485,6,,0.0508431888,0.0580746132,0.0264565036,0.0131862751,0.0876813259,6
76,77,,18.7886725789,20.9338961478,11.8121640313,3.0296557458,31.9693774141,6,,0.3180931383,0.3454892551,0.1001262231,0.1836313938,0.4352400485,6,,0.0508431888,0.0580746132,0.0264565036,0.0131862751,0.0876813259,6
77,78,,17.0109429398,15.6007072304,11.4977076835,3.0296557458,31.9693774141,6,,0.3079072219,0.314931506,0.0991625266,0.1836313938,0.4352400485,6,,0.0431409765,0.0494557327,0.019363023,0.0131862751,0.0602411594,6
78,79,,17.0109429398,15.6007072304,11.4977076835,3.0296557458,31.9693774141,6,,0.3079072219,0.314931506,0.0991625266,0.1836313938,0.4352400485,6,,0.0431409765,0.0494557327,0.019363023,0.0131862751,0.0602411594,6
79,80,,17.0109429398,15.6007072304,11.4977076835,3.0296557458,31.9693774141,6,,0.3079072219,0.314931506,0.0991625266,0.1836313938,0.4352400485,6,,0.0431409765,0.0494557327,0.019363023,0.0131862751,0.0602411594,6
80,81,,11.9631793177,7.7729530568,11.3404256136,1.7682105862,28.5126122281,6,,0.3697406975,0.3814921242,0.1813427691,0.1362251816,0.5731743325,6,,0.032696828,0.0284185713,0.0246500848,0.0082923988,0.0616513911,6
81,82,,11.9631793177,7.7729530568,11.3404256136,1.7682105862,28.5126122281,6,,0.3697406975,0.3814921242,0.1813427691,0.1362251816,0.5731743325,6,,0.032696828,0.0284185713,0.0246500848,0.0082923988,0.0616513911,6
82,83,,11.9631793177,7.7729530568,11.3404256136,1.7682105862,28.5126122281,6,,0.3697406975,0.3814921242,0.1813427691,0.1362251816,0.5731743325,6,,0.032696828,0.0284185713,0.0246500848,0.0082923988,0.0616513911,6
83,84,,11.9631793177,7.7729530568,11.3404256136,1.7682105862,28.5126122281,6,,0.3697406975,0.3814921242,0.1813427691,0.1362251816,0.5731743325,6,,0.032696828,0.0284185713,0.0246500848,0.0082923988,0.0616513911,6
84,85,,15.1559399639,17.3512349955,11.2171049267,1.7682105862,28.5126122281,6,,0.3814827955,0.3984748957,0.1724859502,0.1362251816,0.5731743325,6,,0.0426883364,0.0497239165,0.0249278796,0.0087935603,0.0682414491,6
85,86,,15.1559399639,17.3512349955,11.2171049267,1.7682105862,28.5126122281,6,,0.3814827955,0.3984748957,0.1724859502,0.1362251816,0.5731743325,6,,0.0426883364,0.0497239165,0.0249278796,0.0087935603,0.0682414491,6
86,87,,15.1559399639,17.3512349955,11.2171049267,1.7682105862,28.5126122281,6,,0.3814827955,0.3984748957,0.1724859502,0.1362251816,0.5731743325,6,,0.0426883364,0.0497239165,0.0249278796,0.0087935603,0.0682414491,6
87,88,,15.1559399639,17.3512349955,11.2171049267,1.7682105862,28.5126122281,6,,0.3814827955,0.3984748957,0.1724859502,0.1362251816,0.5731743325,6,,0.0426883364,0.0497239165,0.0249278796,0.0087935603,0.0682414491,6
88,89,,15.1559399639,17.3512349955,11.2171049267,1.7682105862,28.5126122281,6,,0.3814827955,0.3984748957,0.1724859502,0.1362251816,0.5731743325,6,,0.0426883364,0.0497239165,0.0249278796,0.0087935603,0.0682414491,6
89,90,,11.5536308899,9.4132111781,9.3918879281,1.7682105862,22.8126765829,6,,0.4034785132,0.3984748957,0.1403823037,0.2656701632,0.5731743325,6,,0.0392985156,0.0395544541,0.0268633924,0.0087935603,0.0682414491,6
90,91,,10.7934758018,6.0999951037,10.3334350618,1.7622321491,27.0791923378,6,,0.4294994133,0.4043027244,0.1580468432,0.268199488,0.6471083444,6,,0.0372826844,0.0264035752,0.0283470287,0.0099085959,0.0787484338,6
91,92,,10.7934758018,6.0999951037,10.3334350618,1.7622321491,27.0791923378,6,,0.4294994133,0.4043027244,0.1580468432,0.268199488,0.6471083444,6,,0.0372826844,0.0264035752,0.0283470287,0.0099085959,0.0787484338,6
92,93,,10.7934758018,6.0999951037,10.3334350618,1.7622321491,27.0791923378,6,,0.4294994133,0.4043027244,0.1580468432,0.268199488,0.6471083444,6,,0.0372826844,0.0264035752,0.0283470287,0.0099085959,0.0787484338,6
93,94,,10.7934758018,6.0999951037,10.3334350618,1.7622321491,27.0791923378,6,,0.4294994133,0.4043027244,0.1580468432,0.268199488,0.6471083444,6,,0.0372826844,0.0264035752,0.0283470287,0.0099085959,0.0787484338,6
94,95,,10.7934758018,6.0999951037,10.3334350618,1.7622321491,27.0791923378,6,,0.4294994133,0.4043027244,0.1580468432,0.268199488,0.6471083444,6,,0.0372826844,0.0264035752,0.0283470287,0.0099085959,0.0787484338,6
95,96,,9.6554418482,4.4045907588,10.279172074,1.7622321491,27.0791923378,6,,0.564504387,0.5703391159,0.1758066946,0.290807912,0.8223116325,6,,0.0440620232,0.0290290903,0.036888334,0.0099085959,0.1006040796,6
96,97,,9.6554418482,4.4045907588,10.279172074,1.7622321491,27.0791923378,6,,0.564504387,0.5703391159,0.1758066946,0.290807912,0.8223116325,6,,0.0440620232,0.0290290903,0.036888334,0.0099085959,0.1006040796,6
97,98,,9.6554418482,4.4045907588,10.279172074,1.7622321491,27.0791923378,6,,0.564504387,0.5703391159,0.1758066946,0.290807912,0.8223116325,6,,0.0440620232,0.0290290903,0.036888334,0.0099085959,0.1006040796,6
