"Barren ground: These sites have vegetation cover <5%. Located mainly in slopes and higher altitudes. Includes colluvium, tills, glaciofluvial deposits and moraines.",,,,,,,,,,,,,,,,,,,,,,
,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C Dens. g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
63,64,,0.0033139177,0.0033139177,0.0025112553,0.001538192,0.0050896434,2,,2.0063139588,2.0063139588,0.2773771896,1.8101786671,2.2024492505,2,,0.0060558121,0.0060558121,0.0056650691,0.0020500033,0.0100616209,2
64,65,,0.0033139177,0.0033139177,0.0025112553,0.001538192,0.0050896434,2,,2.0063139588,2.0063139588,0.2773771896,1.8101786671,2.2024492505,2,,0.0060558121,0.0060558121,0.0056650691,0.0020500033,0.0100616209,2
65,66,,0.0033491779,0.0033491779,0.0024613899,0.0016087124,0.0050896434,2,,2.0628535586,2.0628535586,0.1974181208,1.9232578666,2.2024492505,2,,0.0062561339,0.0062561339,0.0053817713,0.0024506469,0.0100616209,2
66,67,,0.0033491779,0.0033491779,0.0024613899,0.0016087124,0.0050896434,2,,2.0628535586,2.0628535586,0.1974181208,1.9232578666,2.2024492505,2,,0.0062561339,0.0062561339,0.0053817713,0.0024506469,0.0100616209,2
67,68,,0.0033491779,0.0033491779,0.0024613899,0.0016087124,0.0050896434,2,,2.0628535586,2.0628535586,0.1974181208,1.9232578666,2.2024492505,2,,0.0062561339,0.0062561339,0.0053817713,0.0024506469,0.0100616209,2
68,69,,0.0033491779,0.0033491779,0.0024613899,0.0016087124,0.0050896434,2,,2.0628535586,2.0628535586,0.1974181208,1.9232578666,2.2024492505,2,,0.0062561339,0.0062561339,0.0053817713,0.0024506469,0.0100616209,2
69,70,,0.0033491779,0.0033491779,0.0024613899,0.0016087124,0.0050896434,2,,2.0628535586,2.0628535586,0.1974181208,1.9232578666,2.2024492505,2,,0.0062561339,0.0062561339,0.0053817713,0.0024506469,0.0100616209,2
70,71,,0.0016087124,0.0016087124,,0.0016087124,0.0016087124,1,,1.9232578666,1.9232578666,,1.9232578666,1.9232578666,1,,0.0024506469,0.0024506469,,0.0024506469,0.0024506469,1
71,72,,0.0016087124,0.0016087124,,0.0016087124,0.0016087124,1,,1.9232578666,1.9232578666,,1.9232578666,1.9232578666,1,,0.0024506469,0.0024506469,,0.0024506469,0.0024506469,1
72,73,,0.0016087124,0.0016087124,,0.0016087124,0.0016087124,1,,1.9232578666,1.9232578666,,1.9232578666,1.9232578666,1,,0.0024506469,0.0024506469,,0.0024506469,0.0024506469,1
73,74,,0.0016087124,0.0016087124,,0.0016087124,0.0016087124,1,,1.9232578666,1.9232578666,,1.9232578666,1.9232578666,1,,0.0024506469,0.0024506469,,0.0024506469,0.0024506469,1
74,75,,0.0016087124,0.0016087124,,0.0016087124,0.0016087124,1,,1.9232578666,1.9232578666,,1.9232578666,1.9232578666,1,,0.0024506469,0.0024506469,,0.0024506469,0.0024506469,1
75,76,,0.0016087124,0.0016087124,,0.0016087124,0.0016087124,1,,1.9232578666,1.9232578666,,1.9232578666,1.9232578666,1,,0.0024506469,0.0024506469,,0.0024506469,0.0024506469,1
76,77,,0.0016087124,0.0016087124,,0.0016087124,0.0016087124,1,,1.9232578666,1.9232578666,,1.9232578666,1.9232578666,1,,0.0024506469,0.0024506469,,0.0024506469,0.0024506469,1
77,78,,0.0016087124,0.0016087124,,0.0016087124,0.0016087124,1,,1.9232578666,1.9232578666,,1.9232578666,1.9232578666,1,,0.0024506469,0.0024506469,,0.0024506469,0.0024506469,1
