,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C Dens. g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
60,61,,1.1480531459,1.1480531459,0.584145361,0.735,1.5611062919,2,,1.295,1.295,0.0777817459,1.24,1.35,2,,0.0146569401,0.0146569401,0.0066955094,0.0099225,0.0193913802,2
61,62,,1.1480531459,1.1480531459,0.584145361,0.735,1.5611062919,2,,1.295,1.295,0.0777817459,1.24,1.35,2,,0.0146569401,0.0146569401,0.0066955094,0.0099225,0.0193913802,2
62,63,,1.1480531459,1.1480531459,0.584145361,0.735,1.5611062919,2,,1.295,1.295,0.0777817459,1.24,1.35,2,,0.0146569401,0.0146569401,0.0066955094,0.0099225,0.0193913802,2
63,64,,1.1480531459,1.1480531459,0.584145361,0.735,1.5611062919,2,,1.295,1.295,0.0777817459,1.24,1.35,2,,0.0146569401,0.0146569401,0.0066955094,0.0099225,0.0193913802,2
64,65,,1.1480531459,1.1480531459,0.584145361,0.735,1.5611062919,2,,1.295,1.295,0.0777817459,1.24,1.35,2,,0.0146569401,0.0146569401,0.0066955094,0.0099225,0.0193913802,2
65,66,,1.1690076003,1.210916509,0.4146446296,0.735,1.5611062919,3,,1.4947134368,1.35,0.3502590049,1.24,1.8941403104,3,,0.0174167793,0.0193913802,0.0067279314,0.0099225,0.0229364577,3
66,67,,1.1690076003,1.210916509,0.4146446296,0.735,1.5611062919,3,,1.4947134368,1.35,0.3502590049,1.24,1.8941403104,3,,0.0174167793,0.0193913802,0.0067279314,0.0099225,0.0229364577,3
67,68,,1.1690076003,1.210916509,0.4146446296,0.735,1.5611062919,3,,1.4947134368,1.35,0.3502590049,1.24,1.8941403104,3,,0.0174167793,0.0193913802,0.0067279314,0.0099225,0.0229364577,3
68,69,,1.1690076003,1.210916509,0.4146446296,0.735,1.5611062919,3,,1.4947134368,1.35,0.3502590049,1.24,1.8941403104,3,,0.0174167793,0.0193913802,0.0067279314,0.0099225,0.0229364577,3
69,70,,1.2367909336,1.210916509,0.3121833823,0.93835,1.5611062919,3,,1.4913801035,1.34,0.3523660571,1.24,1.8941403104,3,,0.018300576,0.0193913802,0.0052666966,0.01257389,0.0229364577,3
