,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C Dens. g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
33,34,,3.8059118649,3.0682969901,2.519532984,1.396,9.694889255,9,,1.1131644171,1.2705634389,0.4554502379,0.4546439255,1.7507651202,9,,0.0373290314,0.0341025042,0.0181829216,0.0139498259,0.0707912196,9
34,35,,3.8059118649,3.0682969901,2.519532984,1.396,9.694889255,9,,1.1131644171,1.2705634389,0.4554502379,0.4546439255,1.7507651202,9,,0.0373290314,0.0341025042,0.0181829216,0.0139498259,0.0707912196,9
35,36,,3.7140413008,3.0023472312,2.5770431098,1.396,9.694889255,9,,1.0153240124,0.8898680531,0.3460780183,0.6463757858,1.5137036386,9,,0.0339754237,0.027037852,0.0181926609,0.0162054842,0.0707912196,9
36,37,,3.7140413008,3.0023472312,2.5770431098,1.396,9.694889255,9,,1.0153240124,0.8898680531,0.3460780183,0.6463757858,1.5137036386,9,,0.0339754237,0.027037852,0.0181926609,0.0162054842,0.0707912196,9
37,38,,3.6937079674,3.0023472312,2.5794419608,1.396,9.694889255,9,,1.0161058095,0.8898680531,0.347330946,0.6463757858,1.5137036386,9,,0.0336953117,0.027037852,0.0178782587,0.0162054842,0.0707912196,9
38,39,,3.6937079674,3.0023472312,2.5794419608,1.396,9.694889255,9,,1.0161058095,0.8898680531,0.347330946,0.6463757858,1.5137036386,9,,0.0336953117,0.027037852,0.0178782587,0.0162054842,0.0707912196,9
39,40,,3.6937079674,3.0023472312,2.5794419608,1.396,9.694889255,9,,1.0161058095,0.8898680531,0.347330946,0.6463757858,1.5137036386,9,,0.0336953117,0.027037852,0.0178782587,0.0162054842,0.0707912196,9
40,41,,6.1260204237,3.342,5.139862834,1.9475,16.5906561839,9,,0.8496920128,0.7665128124,0.4008806907,0.2593433114,1.513132851,9,,0.0440260113,0.0272352641,0.028273982,0.0083877497,0.0861331118,9
41,42,,6.1260204237,3.342,5.139862834,1.9475,16.5906561839,9,,0.8496920128,0.7665128124,0.4008806907,0.2593433114,1.513132851,9,,0.0440260113,0.0272352641,0.028273982,0.0083877497,0.0861331118,9
42,43,,6.1645759793,3.5777567917,5.1176220023,1.9475,16.5906561839,9,,0.7867385542,0.7665128124,0.3200004769,0.2593433114,1.3984731255,9,,0.042287055,0.0272352641,0.0283025394,0.0083877497,0.0861331118,9
43,44,,6.1645759793,3.5777567917,5.1176220023,1.9475,16.5906561839,9,,0.7867385542,0.7665128124,0.3200004769,0.2593433114,1.3984731255,9,,0.042287055,0.0272352641,0.0283025394,0.0083877497,0.0861331118,9
44,45,,6.1645759793,3.5777567917,5.1176220023,1.9475,16.5906561839,9,,0.7867385542,0.7665128124,0.3200004769,0.2593433114,1.3984731255,9,,0.042287055,0.0272352641,0.0283025394,0.0083877497,0.0861331118,9
45,46,,5.0459411065,3.689,3.6008124279,1.656,11.2316280402,9,,0.7224887277,0.7668800238,0.4060629893,0.01043,1.2832426123,9,,0.0333877823,0.0234594205,0.0274492005,0.000291471,0.0861331118,9
46,47,,4.2727302398,3.2417722481,2.9442738113,1.656,9.694889255,8,,0.7169398157,0.8383714178,0.433734662,0.01043,1.2832426123,8,,0.0267946161,0.0226914042,0.0203464295,0.000291471,0.0707912196,8
47,48,,3.7979824354,2.7945444962,3.1005844677,0,9.694889255,9,,0.6372798361,0.7301911115,0.4708730704,0,1.2832426123,9,,0.0238174365,0.021923388,0.0210238538,0,0.0707912196,9
48,49,,3.2624276923,2.3865272167,2.6286781525,0,7.932051587,9,,0.6157584525,0.3909974597,0.5061432156,0,1.2832426123,9,,0.0165142038,0.0212504977,0.0097835651,0,0.0262339698,9
49,50,,3.2624276923,2.3865272167,2.6286781525,0,7.932051587,9,,0.6157584525,0.3909974597,0.5061432156,0,1.2832426123,9,,0.0165142038,0.0212504977,0.0097835651,0,0.0262339698,9
50,51,,2.2397960377,1.7005,2.1126778243,0,7.045,9,,0.5458856519,0.548786591,0.4155067649,0,1.1671964243,9,,0.0125931833,0.0153360855,0.0079480138,0,0.0222519114,9
51,52,,2.5197705424,2.0934092306,2.0723860864,0,7.045,8,,0.6141213584,0.651931099,0.3865464184,0,1.1671964243,8,,0.0141673313,0.0161085988,0.0068343208,0,0.0222519114,8
52,53,,2.2397960377,1.7005,2.1126778243,0,7.045,9,,0.5458856519,0.548786591,0.4155067649,0,1.1671964243,9,,0.0125931833,0.0153360855,0.0079480138,0,0.0222519114,9
53,54,,2.2397960377,1.7005,2.1126778243,0,7.045,9,,0.5458856519,0.548786591,0.4155067649,0,1.1671964243,9,,0.0125931833,0.0153360855,0.0079480138,0,0.0222519114,9
54,55,,2.0949627044,1.7005,1.7567874083,0,5.7415,9,,0.5326193975,0.548786591,0.4255538108,0,1.1671964243,9,,0.0113740395,0.0116569778,0.0070748234,0,0.0187735842,9
55,56,,2.0820025463,1.7473205592,1.7363875108,0,5.7415,9,,0.4913152054,0.5432843102,0.3904620198,0,1.1091774181,9,,0.0108238656,0.0122531567,0.007116679,0,0.0187735842,9
56,57,,2.0820025463,1.7473205592,1.7363875108,0,5.7415,9,,0.4913152054,0.5432843102,0.3904620198,0,1.1091774181,9,,0.0108238656,0.0122531567,0.007116679,0,0.0187735842,9
57,58,,2.0820025463,1.7473205592,1.7363875108,0,5.7415,9,,0.4913152054,0.5432843102,0.3904620198,0,1.1091774181,9,,0.0108238656,0.0122531567,0.007116679,0,0.0187735842,9
58,59,,2.0820025463,1.7473205592,1.7363875108,0,5.7415,9,,0.4913152054,0.5432843102,0.3904620198,0,1.1091774181,9,,0.0108238656,0.0122531567,0.007116679,0,0.0187735842,9
59,60,,1.937169213,1.7473205592,1.4182006575,0,4.438,9,,0.5217062107,0.5432843102,0.3749810923,0,1.1091774181,9,,0.0118880822,0.0144131328,0.0078696521,0,0.0208575667,9
60,61,,2.0135079142,2.0236411183,1.467128098,0,4.438,9,,0.5025106169,0.5038793732,0.3981861163,0,1.1091774181,8,,0.0117572056,0.0165281212,0.0085044911,0,0.0208575667,9
61,62,,2.0135079142,2.0236411183,1.467128098,0,4.438,9,,0.5025106169,0.5038793732,0.3981861163,0,1.1091774181,8,,0.0117572056,0.0165281212,0.0085044911,0,0.0208575667,9
62,63,,2.0135079142,2.0236411183,1.467128098,0,4.438,9,,0.5025106169,0.5038793732,0.3981861163,0,1.1091774181,8,,0.0117572056,0.0165281212,0.0085044911,0,0.0208575667,9
63,64,,2.1682301364,2.0236411183,1.7921891244,0,5.8305,9,,0.5033329962,0.5071688902,0.3981161124,0,1.1091774181,8,,0.0125269852,0.0165281212,0.0096654683,0,0.0277855831,9
64,65,,2.1682301364,2.0236411183,1.7921891244,0,5.8305,9,,0.5033329962,0.5071688902,0.3981161124,0,1.1091774181,8,,0.0125269852,0.0165281212,0.0096654683,0,0.0277855831,9
65,66,,2.0302087253,2.0236411183,1.9752525668,0,5.8305,9,,0.3406248658,0.290784657,0.3245379574,0,0.8572885068,9,,0.0107733281,0.0067534371,0.0119372575,0,0.0306919483,9
66,67,,2.0302087253,2.0236411183,1.9752525668,0,5.8305,9,,0.3406248658,0.290784657,0.3245379574,0,0.8572885068,9,,0.0107733281,0.0067534371,0.0119372575,0,0.0306919483,9
67,68,,2.0302087253,2.0236411183,1.9752525668,0,5.8305,9,,0.3406248658,0.290784657,0.3245379574,0,0.8572885068,9,,0.0107733281,0.0067534371,0.0119372575,0,0.0306919483,9
