,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C dens g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
47,48,,3.5488404403,2.4926598459,3.0644301258,0.9871856125,10.0737394733,9,,0.935311857,0.9229110042,0.3708891994,0.3886412134,1.6205206831,9,,0.0258610107,0.021190844,0.0130116872,0.0111418026,0.0563905662,9
48,49,,3.5488404403,2.4926598459,3.0644301258,0.9871856125,10.0737394733,9,,0.935311857,0.9229110042,0.3708891994,0.3886412134,1.6205206831,9,,0.0258610107,0.021190844,0.0130116872,0.0111418026,0.0563905662,9
49,50,,3.5488404403,2.4926598459,3.0644301258,0.9871856125,10.0737394733,9,,0.935311857,0.9229110042,0.3708891994,0.3886412134,1.6205206831,9,,0.0258610107,0.021190844,0.0130116872,0.0111418026,0.0563905662,9
50,51,,4.2378432071,2.5483818414,4.3741912687,0.7370559113,13.2896832056,9,,0.8673994924,0.9434820513,0.2610941582,0.3651613481,1.1286431286,9,,0.0273893649,0.022275506,0.0163807733,0.0079888906,0.0563905662,9
51,52,,4.2378432071,2.5483818414,4.3741912687,0.7370559113,13.2896832056,9,,0.8673994924,0.9434820513,0.2610941582,0.3651613481,1.1286431286,9,,0.0273893649,0.022275506,0.0163807733,0.0079888906,0.0563905662,9
52,53,,4.2378432071,2.5483818414,4.3741912687,0.7370559113,13.2896832056,9,,0.8673994924,0.9434820513,0.2610941582,0.3651613481,1.1286431286,9,,0.0273893649,0.022275506,0.0163807733,0.0079888906,0.0563905662,9
53,54,,4.2378432071,2.5483818414,4.3741912687,0.7370559113,13.2896832056,9,,0.8673994924,0.9434820513,0.2610941582,0.3651613481,1.1286431286,9,,0.0273893649,0.022275506,0.0163807733,0.0079888906,0.0563905662,9
54,55,,4.2378432071,2.5483818414,4.3741912687,0.7370559113,13.2896832056,9,,0.8673994924,0.9434820513,0.2610941582,0.3651613481,1.1286431286,9,,0.0273893649,0.022275506,0.0163807733,0.0079888906,0.0563905662,9
55,56,,4.2635213589,2.5483818414,4.3533520515,0.7370559113,13.2896832056,9,,0.8600749164,0.9434820513,0.2536683499,0.3651613481,1.0838920789,9,,0.0275899451,0.022275506,0.0161666079,0.0079888906,0.0563905662,9
56,57,,4.2635213589,2.5483818414,4.3533520515,0.7370559113,13.2896832056,9,,0.8600749164,0.9434820513,0.2536683499,0.3651613481,1.0838920789,9,,0.0275899451,0.022275506,0.0161666079,0.0079888906,0.0563905662,9
